reaction,minimum,maximum,minimum_status,maximum_status,blocked_at_tol
r_0203,0.00036130578586511205,0.3907086509649443,optimal,optimal,False
r_0204,0.0,16.64280100173674,optimal,optimal,False
r_0205,0.0,0.0,optimal,optimal,True
r_0206,0.0,2.7738001669560237,optimal,optimal,False
r_0207,0.001572594869118325,2.7753727618253747,optimal,optimal,False
r_0208,0.001572594869111775,2.7753727618252078,optimal,optimal,False
r_0209,0.001572594869118089,0.015725946043334056,optimal,optimal,False
r_0210,0.0,0.0,optimal,optimal,True
r_0211,0.0015497044823177626,6.242599820030931,optimal,optimal,False
r_0212,0.0015497044823177659,0.015497042566584986,optimal,optimal,False
r_0213,0.0,0.0,optimal,optimal,True
r_0214,0.0008682085935272262,0.500302047989269,optimal,optimal,False
r_0215,0.0028686130889166886,1.9287268378549611,optimal,optimal,False
r_0216,-11.208284830497172,1.797675398383716,optimal,optimal,False
r_0217,0.0,0.0,optimal,optimal,True
r_0218,-1.8091284010294575,1.0384181545223692,optimal,optimal,False
r_0219,0.002868613088914407,1.9287269143731065,optimal,optimal,False
r_0220,0.0019454256381805251,0.019454259521188753,optimal,optimal,False
r_0221,0.0,0.0,optimal,optimal,True
r_0222,0.0,16.642800298418344,optimal,optimal,False
r_0223,0.0,0.0,optimal,optimal,True
r_0224,0.0,0.0,optimal,optimal,True
r_0225,0.0006763753986088137,0.006763752847245281,optimal,optimal,False
r_0228,0.0,0.0,optimal,optimal,True
r_0229,0.0,0.0,optimal,optimal,True
r_0230,0.0,0.0,optimal,optimal,True
r_0231,0.00029847860896803396,0.09181024792466261,optimal,optimal,False
r_0233,0.0,0.08361098475329339,optimal,optimal,False
r_0234,0.00029847860896804344,0.08890522960995986,optimal,optimal,False
r_0235,0.0002984786089681076,0.08890522961012826,optimal,optimal,False
r_0236,0.00029847860896802534,0.08890522960993273,optimal,optimal,False
r_0237,0.0002984786089679103,0.08890522961005687,optimal,optimal,False
r_0238,0.00029847860896802675,0.08890522960996902,optimal,optimal,False
r_0239,0.00029847860896809635,0.08890522961005001,optimal,optimal,False
r_0240,0.00029847860896805374,0.08890522960999372,optimal,optimal,False
r_0242,0.0,0.08361098475325686,optimal,optimal,False
r_0243,1.1270198338029341e-17,0.08487323950691576,optimal,optimal,False
r_0244,0.00029847860896803287,0.08424191073646582,optimal,optimal,False
r_0249,0.0,0.0,optimal,optimal,True
r_0250,0.0024408034626453093,3.3310010057526216,optimal,optimal,False
r_0252,0.0,0.0,optimal,optimal,True
r_0253,0.0,4.015163317447046,optimal,optimal,False
r_0254,8.133089065066872e-16,4.015163317442931,optimal,optimal,False
r_0255,0.0,4.995190286892895,optimal,optimal,False
r_0256,0.0,1.8767734519968438,optimal,optimal,False
r_0259,0.0,0.0,optimal,optimal,True
r_0260,0.0,0.0,optimal,optimal,True
r_0261,0.0,0.0,optimal,optimal,True
r_0262,0.0,0.0,optimal,optimal,True
r_0263,0.0,9.9856806437716,optimal,optimal,False
r_0264,0.0,9.985680643780709,optimal,optimal,False
r_0265,0.0,9.985680643780075,optimal,optimal,False
r_0266,0.0,9.985680643780622,optimal,optimal,False
r_0267,0.0,0.0,optimal,optimal,True
r_0268,0.0,0.0,optimal,optimal,True
r_0269,0.0,0.0,optimal,optimal,True
r_0270,0.0,0.0,optimal,optimal,True
r_0272,0.00019109464758842375,0.0019109461541299685,optimal,optimal,False
r_0273,0.0,6.241049883236012,optimal,optimal,False
r_0274,-1.182568494089183e-15,6.241049883244998,optimal,optimal,False
r_0278,0.0023457585816108683,1.0481442415479416,optimal,optimal,False
r_0279,0.0027075775146275845,1.0485061067243127,optimal,optimal,False
r_0280,-1000.0,1000.0,optimal,optimal,False
r_0281,0.0,0.0,optimal,optimal,True
r_0282,0.0,0.0,optimal,optimal,True
r_0283,0.0,0.0,optimal,optimal,True
r_0284,0.0,0.0,optimal,optimal,True
r_0285,0.0,0.0,optimal,optimal,True
r_0286,0.0,0.0,optimal,optimal,True
r_0287,0.0,0.0,optimal,optimal,True
r_0288,0.0,0.0,optimal,optimal,True
r_0289,0.0,0.0,optimal,optimal,True
r_0290,0.0,0.0,optimal,optimal,True
r_0291,0.0,0.0,optimal,optimal,True
r_0292,0.0,0.0,optimal,optimal,True
r_0293,0.0,0.0,optimal,optimal,True
r_0294,0.0,0.0,optimal,optimal,True
r_0295,0.0,0.0,optimal,optimal,True
r_0296,0.0,0.0,optimal,optimal,True
r_0297,0.0,0.0,optimal,optimal,True
r_0298,0.0,0.0,optimal,optimal,True
r_0299,0.0,0.0,optimal,optimal,True
r_0300,0.0,2.494854983916055,optimal,optimal,False
r_0301,0.0,2.2147193019073765,optimal,optimal,False
r_0302,-1000.0,1000.0,optimal,optimal,False
r_0303,-1000.0000000000011,999.9999999999999,optimal,optimal,False
r_0304,8.093801232780862e-09,0.07214476176858545,optimal,optimal,False
r_0306,0.0,3.444012015431699,optimal,optimal,False
r_0307,0.0,4.342449932509201,optimal,optimal,False
r_0308,0.0,7.416764995767471,optimal,optimal,False
r_0309,0.0003055450414815497,7.417070001345534,optimal,optimal,False
r_0310,0.0003055450414815633,1.741156915298505,optimal,optimal,False
r_0311,0.0,1.7408514250345704,optimal,optimal,False
r_0312,0.0,0.0,optimal,optimal,True
r_0313,0.00030399912539270983,0.0030399917444947243,optimal,optimal,False
r_0314,0.0,4.342053009794197,optimal,optimal,False
r_0315,0.0,16.642800298422962,optimal,optimal,False
r_0317,0.0002984786089680328,0.09181025047230025,optimal,optimal,False
r_0318,0.0,4.342053193267897,optimal,optimal,False
r_0319,0.0,0.0,optimal,optimal,True
r_0320,0.0,0.0,optimal,optimal,True
r_0321,0.0,0.0,optimal,optimal,True
r_0322,0.0,0.0,optimal,optimal,True
r_0323,0.0,0.0,optimal,optimal,True
r_0326,-16.642788051658265,0.3604181701293145,optimal,optimal,False
r_0327,0.0,9.985680601043596,optimal,optimal,False
r_0328,0.0,0.0,optimal,optimal,True
r_0329,0.0,16.642801001738626,optimal,optimal,False
r_0330,-0.00019425120659671344,16.642780263528703,optimal,optimal,False
r_0332,0.0,0.0,optimal,optimal,True
r_0334,0.0,1.6648769341771672,optimal,optimal,False
r_0335,0.0,0.0,optimal,optimal,True
r_0340,-9.985680235183036,0.0,optimal,optimal,False
r_0341,-9.985680606927826,1.2974854365235576e-14,optimal,optimal,False
r_0342,0.0,1000.0,optimal,optimal,False
r_0343,1.9109262707653721e-13,1000.0,optimal,optimal,False
r_0344,2.965083103111362e-05,0.36302491073477344,optimal,optimal,False
r_0345,0.0,0.0,optimal,optimal,True
r_0346,5.131470201316531e-07,5.131469336581133e-06,optimal,optimal,False
r_0347,5.131470200276999e-07,5.1314709837575255e-06,optimal,optimal,False
r_0348,-6.181319232104201e-17,5.131470983752408e-06,optimal,optimal,False
r_0349,-0.5003020476961951,-0.0008682085935272167,optimal,optimal,False
r_0350,0.0,5.1314521037489376e-06,optimal,optimal,False
r_0351,0.0,5.131449255917061e-06,optimal,optimal,False
r_0352,0.005482076012375268,0.9358473744847601,optimal,optimal,False
r_0353,0.0021488258861425166,0.7270695168480018,optimal,optimal,False
r_0354,0.0,0.0,optimal,optimal,True
r_0355,0.0005969653117372984,0.18362050903854202,optimal,optimal,False
r_0356,0.0,0.0,optimal,optimal,True
r_0357,0.0,16.642801011464723,optimal,optimal,False
r_0358,0.0,16.642801011469786,optimal,optimal,False
r_0359,0.0,0.0,optimal,optimal,True
r_0360,0.0,0.0,optimal,optimal,True
r_0362,0.005682172231807581,0.05682171275081809,optimal,optimal,False
r_0363,0.0,9.985679813201921,optimal,optimal,False
r_0364,0.0,9.985708950887712,optimal,optimal,False
r_0365,0.0,0.0,optimal,optimal,True
r_0366,-6.707946074876493,1.9534851712357915,optimal,optimal,False
r_0368,0.0,0.0,optimal,optimal,True
r_0369,0.0,9.99455859377404,optimal,optimal,False
r_0370,0.0,0.0,optimal,optimal,True
r_0373,0.0,0.13955479477078428,optimal,optimal,False
r_0399,-0.2522043746143585,9.98568060103512,optimal,optimal,False
r_0400,-6.241050375658652,9.985680601055742,optimal,optimal,False
r_0402,-6.24105037565815,9.985680601054288,optimal,optimal,False
r_0410,-0.28231538341591544,9.985680601104498,optimal,optimal,False
r_0412,-6.241050375659571,9.985680601051207,optimal,optimal,False
r_0436,8.093801232780862e-09,0.07214476174208814,optimal,optimal,False
r_0437,0.0,0.0,optimal,optimal,True
r_0440,0.0,7.966811819886145e-07,optimal,optimal,False
r_0441,0.0,11.262763107986249,optimal,optimal,False
r_0442,0.0,11.164383581676644,optimal,optimal,False
r_0443,0.0,0.0,optimal,optimal,True
r_0445,0.0,2.3581501865572942,optimal,optimal,False
r_0446,-1.5940695647942422,2.1935276858223816,optimal,optimal,False
r_0447,0.0,0.0,optimal,optimal,True
r_0448,0.0,16.64280100174205,optimal,optimal,False
r_0449,0.0,16.64280100174105,optimal,optimal,False
r_0450,-1.6853639665697002,17.621009742819904,optimal,optimal,False
r_0451,-0.5771580939370339,3.7950503313960167,optimal,optimal,False
r_0452,-1.9159583095744432,11.167902241889392,optimal,optimal,False
r_0453,0.0008682085935272414,0.5003020688041303,optimal,optimal,False
r_0454,-8.093799804680004e-07,11.262763108017014,optimal,optimal,False
r_0455,0.0,7.718505092442156e-07,optimal,optimal,False
r_0457,0.0,0.0,optimal,optimal,True
r_0458,0.0,0.0,optimal,optimal,True
r_0459,0.0,1000.0,optimal,optimal,False
r_0460,8.093801253215744e-09,8.321399873470074,optimal,optimal,False
r_0462,0.0005969653117372985,0.18362050903877733,optimal,optimal,False
r_0463,0.0,9.985680606890725,optimal,optimal,False
r_0464,0.0,9.985680606888357,optimal,optimal,False
